"DATA_LECTURA","DATA_EXTREM","CODI_ESTACIO","ACRÒNIM","VALOR"
2024-01-08,"13:05:00","X4","TX",13.2
2024-01-08,"06:07:00","X4","TN",6.1
2024-01-08,NA,"X4","HRM",35
2024-01-08,"23:15:00","X4","HRX",50
2024-01-08,"11:51:00","X4","HRN",21
2024-01-08,NA,"X4","PM",1011.6
2024-01-08,"23:45:00","X4","PX",1015.7
2024-01-08,"00:51:00","X4","PN",1008.3
2024-01-08,NA,"X4","PPT",0
2024-01-08,NA,"X4","RS24h",9.8
2024-01-08,NA,"X4","VVM10",1.3
2024-01-08,NA,"X4","DVM10",348
2024-01-08,"00:51:00","X4","VVX10",9.7
2024-01-08,"00:51:00","X4","DVVX10",345
2024-01-08,NA,"X8","TM",8.3
2024-01-08,"13:53:00","X8","TX",13.8
2024-01-08,"23:27:00","X8","TN",4.7
2024-01-08,NA,"X8","HRM",35
2024-01-08,"23:26:00","X8","HRX",54
2024-01-08,"14:00:00","X8","HRN",20
2024-01-08,NA,"X8","PM",1005.7
2024-01-08,"23:40:00","X8","PX",1009.7
2024-01-08,"00:36:00","X8","PN",1002.7
2024-01-08,NA,"X8","PPT",0
2024-01-08,NA,"X8","RS24h",9.6
2024-01-08,NA,"X8","VVM10",2.7
2024-01-08,NA,"X8","DVM10",313
2024-01-08,"03:13:00","X8","VVX10",10
2024-01-08,"03:13:00","X8","DVVX10",303
2024-01-09,NA,"D5","TM",6.1
2024-01-09,"12:47:00","D5","TX",9.5
2024-01-09,"02:24:00","D5","TN",3.7
2024-01-09,NA,"D5","HRM",75
2024-01-09,"19:01:00","D5","HRX",98
2024-01-09,"03:55:00","D5","HRN",48
2024-01-09,NA,"D5","PM",971
2024-01-09,"10:30:00","D5","PX",972
2024-01-09,"04:34:00","D5","PN",969.6
2024-01-09,NA,"D5","PPT",0
2024-01-09,NA,"D5","RS24h",8.3
2024-01-09,NA,"D5","VVM10",2.6
2024-01-09,NA,"D5","DVM10",44
